date,symbol,Open,High,Low,Adj Close,Volume,OBV,MACD,Signal,Histogram,RSI,MA10,MA20,MA50,MA100,MA200,dist_to_P,dist_to_R1,dist_to_R2,dist_to_R3,dist_to_S1,dist_to_S2,dist_to_S3,Short_Term_Foundation_Days,Long_Term_Foundation_Days,y_pred_1,y_pred_2,y_pred_3,y_pred_4,y_pred_5
2023-01-03,CTG,0.013245033112582849,0.023692810457516256,0.018796992481203034,0.027470274702746877,1.4935663016412524,543568989.0,0.3132437919640658,0.43912110597733733,-0.1258773140132715,48.84135460182191,24.413,24.625,23.116799999999998,22.8502,23.83895,-0.01286764705882358,-0.052127100840336164,-0.08337710084033616,-0.15388655462184872,0.018382352941176405,0.05764180672268899,0.12815126050420156,1.0,34.0,2.6155009269714355,0.9704293608665466,0.018583010882139206,-1.050750732421875,-1.526414394378662
2023-01-04,CTG,0.023692810457516256,0.0319233838786912,0.023780237802377924,0.017557861133280284,0.6635163495222209,549356211.0,0.3730840604341843,0.4259136968687067,-0.05282963643452243,54.54545441447061,24.457,24.692,23.225,22.8488,23.8188,0.004464285714285712,-0.03479516806722687,-0.06604516806722686,-0.13655462184873943,0.0357142857142857,0.07497373949579829,0.14548319327731085,2.0,35.0,0.5013560652732849,-0.27902093529701233,0.05902044102549553,-0.312481164932251,-0.4191843867301941
2023-01-05,CTG,0.017557861133280284,-0.005027068832173187,0.01241489787745298,0.0,-0.6345999859690885,549356211.0,0.41571579145283266,0.4238741157855319,-0.008158324332699252,51.992753491322716,24.546,24.743000000000002,23.334,22.840300000000003,23.799300000000002,0.004464285714285712,-0.03479516806722687,-0.06604516806722686,-0.13655462184873943,0.0357142857142857,0.07497373949579829,0.14548319327731085,3.0,36.0,-0.6983784437179565,-0.43889936804771423,-0.020736541599035263,-0.33796611428260803,0.48273584246635437
2023-01-06,CTG,0.0,0.01748931208705784,-0.007120253164557,0.003529411764705781,2.186492239144899,556094530.0,0.4515587055961845,0.42941103374766243,0.022147671848522066,54.51197039352344,24.634999999999998,24.7785,23.4172,22.8349,23.781600000000005,0.008009453781512597,-0.031249999999999986,-0.06249999999999997,-0.13300945378151255,0.039259453781512584,0.07851890756302517,0.14902836134453773,4.0,37.0,-0.5819160342216492,-0.2762724459171295,-0.19290737807750702,-0.1785053014755249,0.3911074995994568
2023-01-09,CTG,0.007058823529411784,-0.005347593582887722,0.023107569721115384,0.017584994138335253,-0.3688192856408252,560347627.0,0.5103922285791995,0.4456072727139699,0.06478495586522964,62.79926318983616,24.764999999999997,24.825499999999998,23.507600000000004,22.8349,23.7677,0.006830777162005382,-0.010310607036989267,-0.020621214073978534,-0.048073205309962445,0.01714138419899465,0.0342827683979893,0.06173475963397321,5.0,38.0,-0.36039215326309204,-0.2927682101726532,-0.05797099322080612,-0.09244570136070251,0.38128918409347534
2023-01-10,CTG,0.017523364485981352,0.003456221198156584,-0.005062305295950087,-0.018817204301075252,-0.2813211172940565,557291016.0,0.5115821143513131,0.4588022410414385,0.05277987330987455,54.446460841696855,24.988999999999997,24.875,23.578400000000002,22.833099999999998,23.753149999999994,-0.012114963268462401,-0.02925634746745705,-0.03956695450444631,-0.06701894574043023,-0.0018043562314731354,0.015337027967521512,0.042789019203505425,6.0,39.0,-0.08158592879772186,0.07647548615932465,-0.06932710111141205,-0.031418826431035995,0.11091233789920807
2023-01-11,CTG,-0.02066590126291612,-0.001530807500956688,0.0015655577299411583,0.019178082191780854,0.121178978941056,560718024.0,0.5457726845220456,0.47619632973756,0.06957635478448565,62.882882724259396,25.213,24.917499999999997,23.6616,22.8407,23.74015,0.006830777162005382,-0.010310607036989267,-0.020621214073978534,-0.048073205309962445,0.01714138419899465,0.0342827683979893,0.06173475963397321,7.0,40.0,-0.16720031201839447,-0.40586617588996887,-0.0735466331243515,-0.06442716717720032,0.26068106293678284
2023-01-12,CTG,0.017584994138335253,0.0015331544653123252,0.0054708870652599995,-0.00691244239631339,-0.27855727211608494,558245634.0,0.5519815621826183,0.49135337622657166,0.06062818595604663,60.28368779362206,25.369,24.962,23.749200000000002,22.848699999999997,23.72605,-0.00012888258796238644,-0.017270266786957034,-0.027580873823946302,-0.055032865059930214,0.01018172444902688,0.027323108648021528,0.05477509988400544,8.0,41.0,1.5910131931304932,0.8434157371520996,0.04928629472851753,-0.8176607489585876,-0.7368263602256775
2023-01-13,CTG,0.0,0.0,-0.012048192771084265,0.006960556844547661,0.20344929400296885,561221030.0,0.5649146536581995,0.5060656317128973,0.05884902194530217,61.24567459213851,25.557,25.0,23.847600000000003,22.8585,23.71105,0.006830777162005382,-0.010310607036989267,-0.020621214073978534,-0.048073205309962445,0.01714138419899465,0.0342827683979893,0.06173475963397321,9.0,42.0,2.622711181640625,1.2301536798477173,0.217988982796669,-0.9208587408065796,-1.7175850868225098
2023-01-16,CTG,0.0,0.027554535017221715,0.017309205350117818,0.031105990783410142,0.7981838383865543,566571339.0,0.6332250284193179,0.5314975110541814,0.10172751736513652,84.30232535266813,25.803000000000004,25.0875,23.945999999999998,22.8746,23.6974,-0.011898920510304119,-0.060230618253189275,-0.08439646712463185,-0.1568940137389596,0.01226692836113846,0.06059862610402361,0.13309617271835134,1.0,1.0,3.28568696975708,1.471091389656067,0.11366531252861023,-1.241640567779541,-1.8873391151428223
